,Datetime,Username,Text,duplicate
68,2023-04-05 15:49:45+00:00,NabilaAr__,"Ketum PSSI  Erick Thohir yakin sepak bola Indonesia akan segera bangkit usai batal jadi tuan rumah Piala Dunia U-20 2023.
Sebab, menurut Erick, sepak bola sangat digemari di Indonesia dan punya banyak penikmat.

@erickthohir
#GueBarengErickThohir https://t.co/ZvZe0KMBdA",False
69,2023-04-05 15:43:42+00:00,pahlevi0884,"Dipastikan Vanue piala Dunia U-20 sudah siap 100% seperti di sampai kan menteri PUPR pak basuki, jadi pembatalan piala Dunia U-20 bukan karena masalah stadion atau infrastruktur. 

#BangkitBersamaET 
@erickthohir https://t.co/ShrHwuAsfJ",False
70,2023-04-05 15:39:50+00:00,OposisiCerdas,"Bukan Cuma soal Piala Dunia U-20, Ini Sederet Pernyataan dan Kebijakan Ganjar Pranowo yang Tuai Kontroversi https://t.co/G0RqymmQ8O",False
71,2023-04-05 15:24:14+00:00,ajies4ra,"@FenisiaPhoenix Dlm surat Koster menyebutkan rasa takutnya dgn peristiwa Bom Bali, ini menjadi trigger dicabutnya Indonesia menjadi tuan rumah.

Indonesia dinilai tdk mampu menjamin keamanan Piala Dunia U-20",False
72,2023-04-05 15:22:30+00:00,BeritakanID_com,"Prediksi Tak Meleset, Komentar Ganjar Soal Piala Dunia U-20 Membuat Elektabilitas Anies Moncer 
https://t.co/PHxlACjvaN",False
73,2023-04-05 15:16:57+00:00,serlyyna,@ayydafryanti PSSI juga perlu dipertanyakan Kenapa tidak sejalan pikirannya untuk menolak Israel di piala dunia u-20,False
74,2023-04-05 15:15:46+00:00,Retnowonosari,"Keamanan menjadi alasan Indonesia batal menjadi tuan rumah PD U-20 hal tersebut di sampaikan oleh  Ketum PSSI @erickthohir.

Indonesia sbg host &amp; HCA  menjamin keamanan selama Piala Dunia U-20. Namun keputusan tertinggi ada di FIFA dan kita hrs menerima
#GueBarengErickThohir https://t.co/VlPBlyr6ku",False
75,2023-04-05 15:03:33+00:00,saputrarudy4477,Intinya dalam salah satu pasal persyaratan ikut FIFA itu bahwa sepakbola ini hanya murni sebatas olahraga jangan ada Intervensi dari pihak pemerintah. ajang piala dunia U-20 sebagai pemersatu anak dari pelbagai bangsa yang hanya mau bermain bola tanpa pedulikan agama atau politik,False
76,2023-04-05 14:57:03+00:00,jpnncom,"Isu Piala Dunia U-20 Pengaruhi Elektabilitas Ganjar, Prabowo Teratas #elektabilitasGanjar https://t.co/rzaRIzpZr8",False
77,2023-04-05 14:54:32+00:00,radenmasdimas__,"@PolJokesID Maaf, kalau boleh tahu itu bintang di atas burung Garuda itu artinya apa ya? Apakah pernah juara Piala Dunia U-20?",False
